player_id,player,fpl_id,fpl_name,web_name,element_type,pos,now_cost,penalties_order,status,team_id
,,599,Will Dennis,Dennis,1,(G),4.0,,a,2
12963.0,Evanilson,617,Francisco Evanilson de Lima Barbosa,Evanilson,4,(F),6.0,,a,2
,,680,Max Kinsey,Kinsey,2,(D),4.0,,a,2
,,687,Ben Winterburn,Winterburn,3,(M),4.5,,a,2
9677.0,Kristoffer Ajer,86,Kristoffer Ajer,Ajer,2,(D),4.4,,i,3
,,87,Ethan Brierley,Brierley,3,(M),4.5,,a,3
9733.0,Nathan Collins,88,Nathan Collins,Collins,2,(D),4.5,,a,3
8859.0,Mikkel Damsgaard,89,Mikkel Damsgaard,Damsgaard,3,(M),5.0,,a,3
10405.0,Josh Dasilva,90,Josh Dasilva,Dasilva,3,(M),4.8,,i,3
7047.0,Mark Flekken,91,Mark Flekken,Flekken,1,(G),4.5,,a,3
9679.0,Rico Henry,92,Rico Henry,Henry,2,(D),4.3,,i,3
8942.0,Aaron Hickey,93,Aaron Hickey,Hickey,2,(D),4.3,,i,3
9680.0,Vitaly Janelt,94,Vitaly Janelt,Janelt,3,(M),4.9,,a,3
7166.0,Mathias Jensen,95,Mathias Jensen,Jensen,3,(M),5.3,,d,3
,,96,Kim Ji-soo,Ji-soo,2,(D),3.9,,a,3
12633.0,Yunus Konak,97,Yunus Emre Konak,Konak,3,(M),4.5,,a,3
10809.0,Keane Lewis-Potter,98,Keane Lewis-Potter,Lewis-Potter,3,(M),5.0,,a,3
6552.0,Bryan Mbeumo,99,Bryan Mbeumo,Mbeumo,3,(M),7.8,1.0,a,3
1654.0,Ben Mee,100,Ben Mee,Mee,2,(D),4.2,,a,3
7083.0,Christian Nørgaard,101,Christian Nørgaard,Nørgaard,3,(M),4.8,,a,3
9678.0,Ethan Pinnock,104,Ethan Pinnock,Pinnock,2,(D),4.5,,a,3
9685.0,Mads Roerslev,105,Mads Roerslev Rasmussen,Roerslev,2,(D),4.4,,a,3
9156.0,Kevin Schade,106,Kevin Schade,Schade,3,(M),5.1,,a,3
229.0,Thiago Rodrigues,107,Igor Thiago Nascimento Rodrigues,Thiago,4,(F),5.9,,a,3
,,109,Hákon Valdimarsson,Valdimarsson,1,(G),4.0,,a,3
5786.0,Yoane Wissa,110,Yoane Wissa,Wissa,4,(F),6.1,2.0,a,3
11772.0,Yehor Yarmolyuk,111,Yehor Yarmoliuk,Yarmoliuk,3,(M),4.4,,a,3
9501.0,Fabio Carvalho,314,Fábio Freitas Gouveia Carvalho,Carvalho,3,(M),4.8,,a,3
10721.0,Sepp van den Berg,338,Sepp van den Berg,Van den Berg,2,(D),4.1,,a,3
11146.0,Ryan Trevitt,602,Ryan Trevitt,Trevitt,3,(M),4.5,,a,3
,,634,Gustavo Nunes Fernandes Gomes,G.Nunes,3,(M),4.9,,i,3
,,649,Jayden Meghoma,Meghoma,2,(D),4.0,,a,3
,,661,Tony Yogane,Yogane,3,(M),4.5,,a,3
,,674,Paris Maghoma,Maghoma,3,(M),4.5,,a,3
11710.0,Simon Adingra,113,Simon Adingra,Adingra,3,(M),5.3,,a,4
10527.0,Carlos Baleba,115,Carlos Baleba,Baleba,3,(M),5.0,,a,4
6048.0,Lewis Dunk,120,Lewis Dunk,Dunk,2,(D),4.4,,a,4
11058.0,Julio Enciso,121,Julio Enciso,Enciso,3,(M),5.4,,a,4
5136.0,Estupiñán,122,Pervis Estupiñán,Estupiñan,2,(D),5.0,,a,4
10177.0,Evan Ferguson,123,Evan Ferguson,Ferguson,4,(F),5.5,,a,4
11269.0,Jack Hinshelwood,126,Jack Hinshelwood,Hinshelwood,3,(M),5.0,,d,4
7943.0,Igor Julio,128,Igor Julio dos Santos de Paulo,Igor,2,(D),4.4,,a,4
8272.0,João Pedro,129,João Pedro Junqueira de Jesus,João Pedro,4,(F),5.8,1.0,a,4
8226.0,Tariq Lamptey,131,Tariq Lamptey,Lamptey,2,(D),4.4,,a,4
6049.0,Solly March,132,Solly March,March,3,(M),6.5,,d,4
489.0,James Milner,134,James Milner,Milner,3,(M),5.0,,i,4
12759.0,Yankuba Minteh,135,Yankuba Minteh,Minteh,3,(M),5.2,,a,4
10806.0,Kaoru Mitoma,136,Mitoma Kaoru,Mitoma,3,(M),6.5,,a,4
9284.0,Jakub Moder,137,Jakub Moder,Moder,3,(M),4.4,,a,4
,,140,Cameron Peupion,Peupion,3,(M),4.5,,a,4
7235.0,Jason Steele,142,Jason Steele,Steele,1,(G),4.2,,a,4
10807.0,Jan Paul van Hecke,144,Jan Paul van Hecke,Van Hecke,2,(D),4.5,,a,4
8780.0,Joël Veltman,145,Joël Veltman,Veltman,2,(D),4.6,,d,4
11711.0,Bart Verbruggen,146,Bart Verbruggen,Verbruggen,1,(G),4.5,,a,4
7699.0,Adam Webster,147,Adam Webster,Webster,2,(D),4.3,,d,4
501.0,Danny Welbeck,148,Danny Welbeck,Welbeck,4,(F),6.0,2.0,a,4
12758.0,Mats Wieffer,149,Mats Wieffer,Wieffer,3,(M),4.8,,a,4
11310.0,Brajan Gruda,595,Brajan Gruda,Gruda,3,(M),5.4,,d,4
11385.0,Yasin Ayari,600,Yasin Ayari,Ayari,3,(M),5.0,,a,4
6937.0,Georginio Rutter,618,Georginio Rutter,Georginio,3,(M),5.6,,a,4
13066.0,Ferdi Kadioglu,628,Ferdi Kadioglu,F.Kadıoğlu,2,(D),4.5,,d,4
13206.0,Matt O&#039;Riley,629,Matt O'Riley,O'Riley,3,(M),5.5,,a,4
,,663,Imari Samuels,Samuels,2,(D),4.0,,a,4
,,668,Killian Cahill,Cahill,1,(G),3.9,,a,4
,,681,Ruairi McConville,McConville,2,(D),4.0,,a,4
,,685,Jacob Slater,Slater,2,(D),4.0,,a,4
7240.0,Benoit Badiashile Mukinayi,153,Benoît Badiashile,B.Badiashile,2,(D),4.3,,a,5
,,154,Lucas Bergström,Bergström,1,(G),4.0,,a,5
,,155,Marcus Bettinelli,Bettinelli,1,(G),4.0,,a,5
9453.0,Moisés Caicedo,157,Moisés Caicedo Corozo,Caicedo,3,(M),4.9,,a,5
10433.0,Cesare Casadei,158,Cesare Casadei,Casadei,3,(M),4.4,,a,5
782.0,Ben Chilwell,160,Ben Chilwell,Chilwell,2,(D),4.7,,a,5
9356.0,Carney Chukwuemeka,161,Carney Chukwuemeka,Chukwuemeka,3,(M),4.8,,a,5
10805.0,Levi Colwill,162,Levi Colwill,Colwill,2,(D),4.5,,a,5
7134.0,Marc Cucurella,163,Marc Cucurella Saseta,Cucurella,2,(D),5.0,,a,5
12033.0,Deivid Washington,165,Deivid Washington de Souza Eugênio,Deivid,4,(F),4.9,,a,5
9739.0,Kiernan Dewsbury-Hall,166,Kiernan Dewsbury-Hall,Dewsbury-Hall,3,(M),5.6,,a,5
6885.0,Axel Disasi,167,Axel Disasi,Disasi,2,(D),4.2,,a,5
11356.0,Enzo Fernández,168,Enzo Fernández,Enzo,3,(M),4.8,4.0,a,5
9017.0,Malo Gusto,171,Malo Gusto,Gusto,2,(D),4.9,,a,5
8067.0,Reece James,172,Reece James,James,2,(D),4.9,,i,5
,,173,Omari Kellyman,Kellyman,3,(M),4.4,,i,5
10004.0,Romeo Lavia,174,Roméo Lavia,Lavia,3,(M),4.5,,a,5
11357.0,Noni Madueke,177,Noni Madueke,Madueke,3,(M),6.3,3.0,a,5
11633.0,Marc Guiu,178,Marc Guiu Paz,Marc Guiu,4,(F),4.8,,a,5
11305.0,Mykhailo Mudryk,179,Mykhailo Mudryk,Mudryk,3,(M),6.2,,a,5
10048.0,Nicolas Jackson,180,Nicolas Jackson,N.Jackson,4,(F),8.1,,a,5
3300.0,Christopher Nkunku,181,Christopher Nkunku,Nkunku,3,(M),5.8,2.0,a,5
8497.0,Cole Palmer,182,Cole Palmer,Palmer,3,(M),11.0,1.0,a,5
11383.0,Renato Veiga,184,Renato Palma Veiga,Renato Veiga,3,(M),4.5,,a,5
9098.0,Robert Sánchez,185,Robert Sánchez,Sánchez,1,(G),4.7,,a,5
5590.0,Tosin Adarabioyo,187,Tosin Adarabioyo,Tosin,2,(D),4.2,,a,5
7589.0,Wesley Fofana,189,Wesley Fofana,W.Fofana,2,(D),4.5,,i,5
6345.0,Jadon Sancho,386,Jadon Sancho,Sancho,3,(M),6.2,,a,5
6382.0,Pedro Neto,560,Pedro Lomba Neto,Neto,3,(M),6.2,,a,5
,,581,Filip Jørgensen,Jørgensen,1,(G),4.2,,a,5
7892.0,João Félix,621,João Félix Sequeira,João Félix,3,(M),6.1,,a,5
6482.0,Eddie Nketiah,11,Eddie Nketiah,Nketiah,4,(F),5.9,,a,6
6615.0,Trevoh Chalobah,159,Trevoh Chalobah,Chalobah,2,(D),4.4,,a,6
8666.0,Cheick Oumar Doucoure,193,Cheick Doucouré,C.Doucouré,3,(M),4.9,,a,6
8430.0,Chris Richards,194,Chris Richards,C.Richards,2,(D),4.4,,a,6
11167.0,Chadi Riad,195,Chadi Riad Dnanou,Chadi Riad,2,(D),4.3,,i,6
603.0,Nathaniel Clyne,196,Nathaniel Clyne,Clyne,2,(D),4.4,,a,6
8706.0,Eberechi Eze,199,Eberechi Eze,Eze,3,(M),6.6,2.0,a,6
7603.0,Marc Guehi,200,Marc Guéhi,Guéhi,2,(D),4.5,,a,6
7702.0,Dean Henderson,201,Dean Henderson,Henderson,1,(G),4.4,,a,6
,,202,Rob Holding,Holding,2,(D),4.3,,a,6
6104.0,Will Hughes,203,Will Hughes,Hughes,3,(M),4.9,,a,6
6145.0,Daichi Kamada,205,Daichi Kamada,Kamada,3,(M),5.1,,s,6
2182.0,Jefferson Lerma,206,Jefferson Lerma Solís,Lerma,3,(M),4.8,,a,6
5735.0,Jean-Philippe Mateta,207,Jean-Philippe Mateta,Mateta,4,(F),7.2,2.0,a,6
,,208,Matheus França de Oliveira,M.França,3,(M),4.4,,i,6
9834.0,Remi Matthews,209,Remi Matthews,Matthews,1,(G),4.0,,a,6
8214.0,Tyrick Mitchell,210,Tyrick Mitchell,Mitchell,2,(D),4.9,,a,6
12408.0,Daniel Muñoz,211,Daniel Muñoz,Muñoz,2,(D),4.7,,a,6
757.0,Jeffrey Schlupp,214,Jeffrey Schlupp,Schlupp,3,(M),4.7,,a,6
510.0,Joel Ward,215,Joel Ward,Ward,2,(D),4.3,,a,6
12409.0,Adam Wharton,216,Adam Wharton,Wharton,3,(M),4.7,,i,6
10700.0,Matt Turner,445,Matt Turner,Turner,1,(G),4.0,,a,6
5675.0,Ismaila Sarr,585,Ismaïla Sarr,I.Sarr,3,(M),5.7,,a,6
,,644,Franco Umeh-Chibueze,Umeh-Chibueze,3,(M),4.5,,d,6
13038.0,Justin Devenny,645,Justin Devenny,Devenny,3,(M),4.5,,a,6
13039.0,Asher Agbinone,646,Asher Agbinone,Agbinone,3,(M),4.5,,a,6
,,647,Kaden Rodney,Rodney,3,(M),4.5,,a,6
8853.0,Maxence Lacroix,650,Maxence Lacroix,Lacroix,2,(D),4.5,,a,6
13130.0,Caleb Kporha,666,Caleb Kporha,Kporha,2,(D),4.0,,a,6
,,676,Zach Marsh,Marsh,4,(F),4.5,,a,6
8384.0,Armando Broja,156,Armando Broja,Broja,4,(F),5.4,,d,7
1726.0,Abdoulaye Doucouré,217,Abdoulaye Doucouré,A.Doucoure,3,(M),5.1,,a,7
9983.0,Beto,218,Norberto Bercique Gomes Betuncal,Beto,4,(F),5.0,,a,7
8476.0,Jarrad Branthwaite,219,Jarrad Branthwaite,Branthwaite,2,(D),4.8,,a,7
5555.0,Dominic Calvert-Lewin,220,Dominic Calvert-Lewin,Calvert-Lewin,4,(F),5.6,1.0,a,7
585.0,Seamus Coleman,221,Séamus Coleman,Coleman,2,(D),4.3,,a,7
668.0,Idrissa Gueye,222,Idrissa Gueye,Gana,3,(M),4.9,,a,7
7438.0,James Garner,223,James Garner,Garner,3,(M),4.9,,i,7
8720.0,Jack Harrison,224,Jack Harrison,Harrison,3,(M),5.3,,a,7
9554.0,Tim Iroegbunam,226,Tim Iroegbunam,Iroegbunam,3,(M),4.4,,i,7
,,227,João Neves Virgínia,J.Virginia,1,(G),4.0,,a,7
1653.0,Michael Keane,228,Michael Keane,Keane,2,(D),4.2,,a,7
6756.0,Dwight McNeil,230,Dwight McNeil,McNeil,3,(M),5.6,,a,7
10291.0,Vitalii Mykolenko,231,Vitalii Mykolenko,Mykolenko,2,(D),4.3,,a,7
9307.0,Iliman Ndiaye,232,Iliman Ndiaye,Ndiaye,4,(F),5.4,,a,7
10292.0,Nathan Patterson,234,Nathan Patterson,Patterson,2,(D),4.4,,a,7
741.0,Jordan Pickford,235,Jordan Pickford,Pickford,1,(G),4.9,,a,7
1665.0,James Tarkowski,236,James Tarkowski,Tarkowski,2,(D),4.8,,a,7
11984.0,Youssef Chermiti,237,Youssef Ramalho Chermiti,Y. Chermiti,4,(F),4.9,,i,7
631.0,Ashley Young,238,Ashley Young,Young,2,(D),4.6,,a,7
9752.0,Jesper Lindstrom,577,Jesper Lindstrøm,Lindstrøm,3,(M),5.1,,a,7
12014.0,Jake O&#039;Brien,582,Jake O'Brien,O'Brien,2,(D),4.6,,a,7
12757.0,Harrison Armstrong,603,Harrison Armstrong,Armstrong,3,(M),4.5,,a,7
,,624,Asmir Begovic,Begovic,1,(G),4.0,,a,7
12946.0,Roman Dixon,627,Roman Dixon,Dixon,2,(D),4.0,,a,7
6088.0,Orel Mangala,651,Orel Mangala,Mangala,3,(M),5.0,,a,7
,,678,Callum Bates,Bates,3,(M),4.5,,a,7
6492.0,Reiss Nelson,10,Reiss Nelson,Nelson,3,(M),5.0,,a,8
7230.0,Emile Smith-Rowe,19,Emile Smith Rowe,Smith Rowe,3,(M),5.7,,a,8
6314.0,Joachim Andersen,191,Joachim Andersen,Andersen,2,(D),4.3,,i,8
900.0,Adama Traoré,239,Adama Traoré,Adama,3,(M),4.9,,a,8
922.0,Andreas Pereira,240,Andreas Hoelgebaum Pereira,Andreas,3,(M),5.1,1.0,a,8
11728.0,Calvin Bassey,241,Calvin Bassey,Bassey,2,(D),4.5,,a,8
,,242,Steven Benda,Benda,1,(G),4.0,,a,8
6835.0,Tom Cairney,243,Tom Cairney,Cairney,3,(M),4.8,,s,8
6157.0,Timothy Castagne,244,Timothy Castagne,Castagne,2,(D),4.2,,a,8
3203.0,Issa Diop,245,Issa Diop,Diop,2,(D),4.4,,a,8
500.0,Alex Iwobi,247,Alex Iwobi,Iwobi,3,(M),5.6,,a,8
181.0,Bernd Leno,248,Bernd Leno,Leno,1,(G),5.0,,a,8
1537.0,Sasa Lukic,249,Saša Lukić,Lukić,3,(M),4.8,2.0,s,8
10717.0,Rodrigo Muniz,251,Rodrigo Muniz Carvalho,Muniz,4,(F),5.5,,a,8
4105.0,Raúl Jiménez,252,Raúl Jiménez,Raúl,4,(F),5.6,1.0,a,8
910.0,Harrison Reed,254,Harrison Reed,Reed,3,(M),4.8,,i,8
8940.0,Antonee Robinson,255,Antonee Robinson,Robinson,2,(D),4.7,,a,8
5973.0,Kenny Tete,257,Kenny Tete,Tete,2,(D),4.5,,a,8
,,258,Carlos Vinícius Alves Morais,Vinicius,4,(F),5.0,,a,8
5596.0,Harry Wilson,259,Harry Wilson,Wilson,3,(M),5.2,,a,8
6837,Ryan Sessegnon,579,Ryan Sessegnon,Sessegnon,2,(D),4.2,,a,8
8489.0,Jorge Cuenca,586,Jorge Cuenca Barreno,J.Cuenca,2,(D),4.4,,i,8
,,604,Josh King,King,3,(M),4.5,,a,8
,,605,Martial Godo,Godo,3,(M),4.5,,a,8
8285.0,Sander Berge,622,Sander Berge,Berge,3,(M),5.0,,a,8
,,690,Samuel Amissah,Amissah,2,(D),4.0,,a,8
12751.0,Ali Al-Hamadi,260,Ali Al-Hamadi,Al-Hamadi,4,(F),4.8,1.0,a,9
9406,Nathan Broadhead,262,Nathan Broadhead,Broadhead,3,(M),4.9,2.0,a,9
12755.0,Cameron Burgess,263,Cameron Burgess,Burgess,2,(D),4.0,,a,9
12749.0,Wes Burns,264,Wes Burns,Burns,3,(M),4.8,,a,9
12750.0,Conor Chaplin,265,Conor Chaplin,Chaplin,3,(M),5.1,,a,9
13133.0,Harry Clarke,266,Harry Clarke,H.Clarke,2,(D),4.0,,a,9
8919.0,Leif Davis,267,Leif Davis,Davis,2,(D),4.5,,a,9
8868.0,Liam Delap,268,Liam Delap,Delap,4,(F),5.6,,a,9
12745.0,Jacob Greaves,270,Jacob Greaves,Greaves,2,(D),4.0,,a,9
8563.0,George Hirst,272,George Hirst,Hirst,4,(F),5.4,1.0,i,9
10348.0,Omari Hutchinson,274,Omari Giraud-Hutchinson,Hutchinson,3,(M),5.2,,a,9
6424.0,Ben Johnson,275,Ben Johnson,Johnson,2,(D),4.0,,d,9
12747.0,Massimo Luongo,277,Massimo Luongo,Luongo,3,(M),4.5,,a,9
12748.0,Sam Morsy,278,Sam Morsy,Morsy,3,(M),4.9,,a,9
,,280,Cieran Slicker,Slicker,1,(G),4.0,,a,9
12754.0,Jack Taylor,281,Jack Taylor,Taylor,3,(M),4.8,,a,9
934.0,Axel Tuanzebe,282,Axel Tuanzebe,Tuanzebe,2,(D),4.0,,d,9
9251.0,Christian Walton,283,Christian Walton,Walton,1,(G),4.3,,a,9
12746.0,Luke Woolfenden,284,Luke Woolfenden,Woolfenden,2,(D),4.0,,a,9
8719.0,Kalvin Phillips,359,Kalvin Phillips,Phillips,3,(M),4.9,,d,9
7027.0,Arijanet Muric,568,Arijanet Muric,Muric,1,(G),4.4,,a,9
8905.0,Conor Townsend,583,Conor Townsend,Townsend,2,(D),4.0,,a,9
12752.0,Sammie Szmodics,611,Sam Szmodics,Szmodics,3,(M),5.8,,a,9
10301.0,Jens Cajuste,619,Jens Cajuste,Cajuste,3,(M),4.5,,a,9
8756.0,Dara O&#039;Shea,630,Dara O'Shea,O'Shea,2,(D),4.0,,a,9
13019.0,Jack Clarke,631,Jack Clarke,J.Clarke,3,(M),5.5,,a,9
11719.0,Chiedozie Ogbene,632,Chiedozie Ogbene,Ogbene,3,(M),4.9,,i,9
11362.0,Facundo Buonanotte,117,Facundo Buonanotte,Buonanotte,3,(M),5.0,,a,10
672.0,Jordan Ayew,192,Jordan Ayew,J.Ayew,3,(M),5.2,,a,10
3697.0,Odsonne Edouard,198,Odsonne Edouard,Edouard,4,(F),5.2,,a,10
6310.0,Boubakary Soumare,285,Boubakary Soumaré,B.Soumaré,3,(M),4.4,,a,10
6418.0,Hamza Choudhury,287,Hamza Choudhury,Choudhury,3,(M),4.4,,a,10
,,288,Conor Coady,Coady,2,(D),4.0,,a,10
9738.0,Patson Daka,289,Patson Daka,Daka,4,(F),4.8,2.0,a,10
6827.0,Bobby Reid,290,Bobby De Cordova-Reid,De Cordova-Reid,3,(M),5.2,,a,10
8646.0,Wout Faes,291,Wout Faes,Faes,2,(D),4.1,,a,10
,,292,Michael Golding,Golding,3,(M),4.4,,a,10
12910.0,Mads Hermansen,293,Mads Hermansen,Hermansen,1,(G),4.5,,a,10
,,294,Daniel Iversen,Iversen,1,(G),4.0,,a,10
7753.0,James Justin,295,James Justin,Justin,2,(D),4.6,,a,10
11367.0,Victor Kristiansen,296,Victor Kristiansen,Kristiansen,2,(D),4.5,,a,10
7484.0,Stephy Mavididi,298,Stephy Mavididi,Mavididi,3,(M),5.3,3.0,a,10
10166.0,Kasey McAteer,299,Kasey McAteer,McAteer,3,(M),4.7,,a,10
5545.0,Wilfred Ndidi,300,Wilfred Ndidi,Ndidi,3,(M),5.0,,a,10
7333.0,Caleb Okoli,301,Caleb Okoli,Okoli,2,(D),4.0,,d,10
3303.0,Ricardo Pereira,302,Ricardo Barbosa Pereira,Ricardo,2,(D),4.2,,i,10
,,304,Jakub Stolarczyk,Stolarczyk,1,(G),4.0,,i,10
,,305,Luke Thomas,Thomas,2,(D),3.9,,a,10
755.0,Jamie Vardy,306,Jamie Vardy,Vardy,4,(F),5.5,1.0,a,10
111.0,Jannik Vestergaard,307,Jannik Vestergaard,Vestergaard,2,(D),4.0,,a,10
510.0,Joel Ward,308,Danny Ward,Ward,1,(G),4.0,,a,10
971.0,Harry Winks,309,Harry Winks,Winks,3,(M),4.5,,d,10
7198.0,Oliver Skipp,501,Oliver Skipp,Skipp,3,(M),4.8,,a,10
12911.0,Abdul Fatawu,570,Abdul Fatawu,A.Fatawu,3,(M),5.2,,i,10
,,606,Will Alves,Alves,3,(M),4.5,,a,10
13020.0,Bilal El Khannouss,635,Bilal El Khannouss,El Khannouss,3,(M),4.8,,a,10
1257.0,Alisson,310,Alisson Ramses Becker,A.Becker,1,(G),5.4,,d,11
